path_id,path_str,source_root,mediator,target,path_length,path_sign,path_effect,path_effect_abs,source_group,mediator_group,target_group,source_total_effect,source_abs_path_sum,path_rank_within_source,path_share_within_source_abs,is_main_path
current_path_118,WTD->LAI->UF->RISK,WTD,LAI|UF,RISK,3,negative,-0.0003192174465269404,0.0003192174465269404,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,6,0.005566069447643889,False
current_path_066,PR->WTD->LAI->RISK,PR,WTD|LAI,RISK,3,positive,0.0003085424775861818,0.0003085424775861818,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,9,0.0008192069733130625,False
current_path_087,HUSS->WTD->UF->RISK,HUSS,WTD|UF,RISK,3,positive,0.0002668834695575749,0.0002668834695575749,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,10,0.0006471443676921505,False
current_path_097,PT->LAI->UF->IP->RISK,PT,LAI|UF|IP,RISK,4,positive,0.0002201739527135694,0.0002201739527135694,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,8,0.0013212443941599393,False
current_path_022,DB->WTD->UF->RISK,DB,WTD|UF,RISK,3,positive,0.0001949087452229782,0.0001949087452229782,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,9,0.0009475466745297013,False
current_path_018,DB->LAI->UF->IP->RISK,DB,LAI|UF|IP,RISK,4,positive,0.00019283214687308974,0.00019283214687308974,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,10,0.0009374513149883957,False
current_path_031,DF->LAI->UF->IP->RISK,DF,LAI|UF|IP,RISK,4,positive,0.00018987603426572864,0.00018987603426572864,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,7,0.010317927188853578,False
current_path_012,DK->WTD->LAI->RISK,DK,WTD|LAI,RISK,3,positive,0.0001874110809699707,0.0001874110809699707,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,8,0.000663127872683721,False
current_path_073,TAS->WTD->UF->RISK,TAS,WTD|UF,RISK,3,negative,-0.00017181654138582374,0.00017181654138582374,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,7,0.0005641955441617274,False
current_path_049,HDS->WTD->IP->RISK,HDS,WTD|IP,RISK,3,negative,-0.0001670829536672016,0.0001670829536672016,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,11,0.00047859235182499884,False
current_path_004,DK->LAI->UF->IP->RISK,DK,LAI|UF|IP,RISK,4,negative,-0.0001634291848766703,0.0001634291848766703,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,9,0.0005782712907945182,False
current_path_105,PT->WTD->LAI->RISK,PT,WTD|LAI,RISK,3,positive,0.00012867631485916742,0.00012867631485916742,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,9,0.0007721751713746487,False
current_path_035,DF->WTD->UF->RISK,DF,WTD|UF,RISK,3,positive,0.00012632560596832946,0.00012632560596832946,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,8,0.006864575666484144,False
current_path_062,PR->WTD->UF->RISK,PR,WTD|UF,RISK,3,positive,0.0001144190720033967,0.0001144190720033967,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,10,0.00030379253579115563,False
current_path_088,HUSS->WTD->IP->RISK,HUSS,WTD|IP,RISK,3,positive,0.00011058692489148314,0.00011058692489148314,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,11,0.0002681533843312064,False
current_path_047,HDS->WTD->UF->IP->RISK,HDS,WTD|UF|IP,RISK,4,negative,-0.0001003520276948151,0.0001003520276948151,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,12,0.00028744831169630455,False
current_path_051,HDS->WTD->LAI->UF->RISK,HDS,WTD|LAI|UF,RISK,4,negative,-8.29616725937907e-05,8.29616725937907e-05,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,13,0.00023763538485848488,False
current_path_023,DB->WTD->IP->RISK,DB,WTD|IP,RISK,3,positive,8.076318403833096e-05,8.076318403833096e-05,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,11,0.00039262931159093434,False
current_path_117,WTD->LAI->UF->IP->RISK,WTD,LAI|UF|IP,RISK,4,negative,-7.944429843995841e-05,7.944429843995841e-05,Anthropogenic,Anthropogenic,Target,-0.0573506043231396,0.05735060432313952,7,0.0013852390812193174,False
current_path_074,TAS->WTD->IP->RISK,TAS,WTD|IP,RISK,3,negative,-7.119460410510541e-05,7.119460410510541e-05,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,8,0.00023378237089675732,False
current_path_008,DK->WTD->UF->RISK,DK,WTD|UF,RISK,3,positive,6.949902695893124e-05,6.949902695893124e-05,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,10,0.00024591257711303226,False
current_path_086,HUSS->WTD->UF->IP->RISK,HUSS,WTD|UF|IP,RISK,4,positive,6.641983461400238e-05,6.641983461400238e-05,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,12,0.00016105614163646427,False
current_path_090,HUSS->WTD->LAI->UF->RISK,HUSS,WTD|LAI|UF,RISK,4,positive,5.4909708349274275e-05,5.4909708349274275e-05,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,13,0.00013314615756741585,False
current_path_036,DF->WTD->IP->RISK,DF,WTD|IP,RISK,3,positive,5.2344794236411115e-05,5.2344794236411115e-05,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,9,0.002844433620785258,False
current_path_021,DB->WTD->UF->IP->RISK,DB,WTD|UF|IP,RISK,4,positive,4.850733784296872e-05,4.850733784296872e-05,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,12,0.00023581787780128333,False
current_path_101,PT->WTD->UF->RISK,PT,WTD|UF,RISK,3,positive,4.7717982464474125e-05,4.7717982464474125e-05,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,10,0.00028635138741333547,False
current_path_063,PR->WTD->IP->RISK,PR,WTD|IP,RISK,3,positive,4.741115417439948e-05,4.741115417439948e-05,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,11,0.00012588071638090784,False
current_path_072,TAS->WTD->UF->IP->RISK,TAS,WTD|UF|IP,RISK,4,negative,-4.27603338704887e-05,4.27603338704887e-05,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,9,0.00014041249836605103,False
current_path_025,DB->WTD->LAI->UF->RISK,DB,WTD|LAI|UF,RISK,4,positive,4.010133101408856e-05,4.010133101408856e-05,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,13,0.0001949521700688407,False
current_path_076,TAS->WTD->LAI->UF->RISK,TAS,WTD|LAI|UF,RISK,4,negative,-3.535024553119169e-05,3.535024553119169e-05,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,10,0.00011607992369567595,False
