false_positive_rate,true_positive_rate_mean,true_positive_rate_p05,true_positive_rate_p95
0.2730923694779116,0.9855503136912196,0.9815919179489137,0.9892186264309162
0.2771084337349397,0.9861872961275691,0.9823472844702714,0.9900560628629614
0.28112449799196787,0.9868493161360233,0.9828601034103789,0.9902684451342997
0.285140562248996,0.9873421716553276,0.9834890094232046,0.9904996195163597
0.2891566265060241,0.9877848996178363,0.9837200871846581,0.9908085638167948
0.2931726907630522,0.9883121578674934,0.9847438084849609,0.991110365486569
0.2971887550200803,0.9887463645056143,0.9852838003661283,0.9915721462814545
0.3012048192771084,0.9892000984295115,0.9857218308572121,0.9921824312215475
0.3052208835341365,0.9896301670289873,0.9862691869396658,0.9923403898809606
0.3092369477911646,0.9900754257238783,0.9869486948459039,0.9925898872650858
0.3132530120481927,0.9904550861776574,0.9871808267817903,0.9928132315345102
0.31726907630522083,0.9908062521299148,0.9881228794830947,0.993070182551266
0.321285140562249,0.9911874301937381,0.9892624036297304,0.9932823847394183
0.3253012048192771,0.9915131032137307,0.9893869640331547,0.9933716643149305
0.3293172690763052,0.9918249624490252,0.9896995976935857,0.9936466948479977
0.3333333333333333,0.9921030051124679,0.9898923808712804,0.9940019493067762
0.3373493975903614,0.9923609364376776,0.9900788634243677,0.9941905971309037
0.34136546184738953,0.9926781509823175,0.9905058460286117,0.9945338928386319
0.34538152610441764,0.9929303564405018,0.9906812520487126,0.9948079593229671
0.34939759036144574,0.9932003664474831,0.9908492443387099,0.9949913363179254
0.35341365461847385,0.9934665329503936,0.9912401398061675,0.9950976440219956
0.35742971887550196,0.9937736630593773,0.9914668522543453,0.995254639726075
0.36144578313253006,0.9940156192592334,0.9915371700579039,0.995752901117173
0.3654618473895582,0.9941761889102848,0.9916467569697567,0.9959071434895829
0.36947791164658633,0.9943112085421706,0.9918192424915404,0.9959834819768298
0.37349397590361444,0.9944929401030133,0.9919838017965509,0.9960950399340193
0.37751004016064255,0.9946274869945972,0.9923757055262581,0.99612380555438
0.38152610441767065,0.9947497756461923,0.9927780382508388,0.9962501691977864
0.38554216867469876,0.9948770700978055,0.9930577269479838,0.9963601157417534
0.38955823293172687,0.994999121181583,0.9931504652254747,0.9964142963964522
0.393574297188755,0.9951442187706872,0.9932545029456978,0.9965089414707391
0.3975903614457831,0.9952809917822545,0.993445730279482,0.9967638632299504
0.4016064257028112,0.9953774967296493,0.9935897301237435,0.9968141805285463
0.4056224899598393,0.9954854704937348,0.9938241482325919,0.9968644978271423
0.40963855421686746,0.9955963892942128,0.993936855684675,0.9971015460516639
0.41365461847389556,0.995689287573026,0.9941063130547316,0.9971632824626128
0.41767068273092367,0.9958361215005403,0.9942456807698529,0.9972250188735617
0.4216867469879518,0.9959431239212313,0.9944100963318556,0.9973505657873555
0.4257028112449799,0.9960175842901233,0.9945191714710816,0.9974866516258505
0.429718875502008,0.996104914728106,0.9945702926096796,0.9975891097540448
0.4337349397590361,0.9961692129868522,0.9946214137482775,0.9976424706004827
0.4377510040160642,0.9962521606799501,0.9946709577477624,0.9977362522358546
0.4417670682730923,0.9963175978393902,0.9947201452262715,0.997752887181741
0.4457831325301204,0.9963838101313592,0.9947693327047806,0.9977695221276275
0.4497991967871485,0.9964612970712323,0.9948188604432566,0.9979072619253908
0.4538152610441767,0.9965238647957407,0.994870852765734,0.9979647133764196
0.4578313253012048,0.9965971886140258,0.9949907282416837,0.9979996377710858
0.4618473895582329,0.9966552575838576,0.9950546995655143,0.998034562165752
